Name,Type,Breed,Age,Color,Shelter Name,Shelter City,Shelter State,Adoption Date
Franklin,Dog,Golden Retriever,2,Gray,Hopeful Hearts Animal Shelter,East John,Louisiana,05/13/24 09:19:54
Jerry,Cat,Birman,1,Black,Rescue Me Animal Shelter,Nelsonbury,New Mexico,05/13/24 09:39:01
Jason,Dog,Golden Retriever,12,Golden,Fur-Ever Homes Shelter,East Justin,Washington,05/13/24 10:03:23
Pamela,Cat,Birman,3,Golden,Furever Friends Sanctuary,Lake Ashleystad,New Jersey,05/13/24 10:19:10
Jeffery,Cat,Abyssinian,12,Blue,Four-Legged Friends Rescue,New Dominique,Missouri,05/13/24 11:24:19
Zachary,Dog,Golden Retriever,11,Brown,Cuddle Buddies Rescue,Amyland,Arkansas,05/13/24 11:25:47
Steven,Dog,Boxer,6,Gray,Furever Friends Sanctuary,New Victormouth,Idaho,05/13/24 11:26:34
Austin,Cat,Persian,8,Gray,Furry Friends Haven,North Kimberly,California,05/13/24 11:30:00
Shane,Cat,Siamese,7,Spotted,Paws and Claws Shelter,Lake Randy,West Virginia,05/13/24 11:30:07
Mark,Cat,Sphynx,8,Red,Furry Companions Shelter,Barreratown,Nebraska,05/13/24 11:59:56
Jason,Dog,Bulldog,11,Golden,Pet Haven Rescue,North Jasminland,Tennessee,05/13/24 12:08:55
Jason,Cat,Persian,11,Striped,Furever Friends Sanctuary,Port Stephanie,Kentucky,05/13/24 12:57:06
Jack,Cat,Oriental Shorthair,3,Cream,Rescue Me Animal Shelter,Lake Mariochester,Indiana,05/13/24 13:06:19
Robert,Cat,Scottish Fold,8,Brown,Furry Friends Haven,South Jay,Washington,05/13/24 13:10:14
Susan,Cat,Siamese,11,Golden,Paws and Claws Shelter,Wrightville,Missouri,05/13/24 13:11:36
Patricia,Dog,Dachshund,4,Cream,Hopeful Hearts Animal Shelter,North Carrieborough,Mississippi,05/13/24 13:46:16
Jessica,Cat,Abyssinian,8,Cream,Pet Haven Rescue,Douglasbury,South Dakota,05/13/24 13:57:47
Rhonda,Cat,Birman,1,Golden,Fur-Ever Homes Shelter,Port Judy,Indiana,05/13/24 13:59:40
Kristine,Dog,Golden Retriever,8,Spotted,Pawsitive Outcomes Rescue,Christyhaven,Ohio,05/13/24 14:08:42
Miguel,Cat,Oriental Shorthair,12,Red,Second Chance Animal Shelter,Collinston,Nebraska,05/13/24 14:29:09
Ashley,Dog,German Shepherd,3,White,Rescue Me Animal Shelter,Hollyport,West Virginia,05/13/24 14:30:59
Douglas,Dog,Dachshund,5,Gray,Pawsitive Outcomes Rescue,Tammyshire,Maine,05/13/24 15:02:36
Jessica,Cat,Siamese,3,Blue,Wagging Tails Shelter,Thomasmouth,California,05/13/24 15:24:25
Natasha,Cat,Ragdoll,2,White,Rescue Me Animal Shelter,Dunnview,Alabama,05/13/24 15:28:11
Matthew,Cat,Scottish Fold,15,Blue,Pawsitive Outcomes Rescue,Andrewmouth,North Carolina,05/13/24 15:57:34
Christine,Cat,Maine Coon,3,Striped,Rescue Me Animal Shelter,Schroederton,Connecticut,05/13/24 16:11:57
Sheri,Dog,Boxer,2,Black,Second Chance Animal Shelter,Port Jason,South Dakota,05/13/24 16:17:40
Timothy,Dog,German Shepherd,7,Red,Paws and Claws Shelter,South Steve,California,05/13/24 16:21:58
Kayla,Cat,Maine Coon,14,Cream,Wagging Tails Shelter,North Lisa,Washington,05/13/24 18:05:26
Cynthia,Cat,British Shorthair,11,Brown,Cuddle Buddies Rescue,Allenchester,Tennessee,05/13/24 18:07:06
Tyler,Dog,Bulldog,6,Spotted,Fur-Ever Homes Shelter,Lake Victoria,Pennsylvania,05/13/24 18:18:17
Hannah,Dog,Dachshund,15,Spotted,Wagging Tails Shelter,Bakershire,Missouri,05/13/24 18:19:41
Stephen,Dog,German Shepherd,12,Black,Furever Friends Sanctuary,Riveraland,Georgia,05/13/24 19:10:45
